"Index","BMDL.10","BW","HED","CSF","RSD.04","RSD.05","RSD.06"
1,0.847552451,0.431,0.237416769701547,0.421200238406531,0.000237416769701547,2.37416769701547e-05,2.37416769701547e-06
2,0.228246747,0.0353,0.0342037531126563,2.92365576580535,3.42037531126563e-05,3.42037531126563e-06,3.42037531126563e-07
3,0.653033556,0.284,0.164812661609883,0.606749499845488,0.000164812661609883,1.64812661609883e-05,1.64812661609883e-06
4,25.07688797,0.0373,3.81001194894388,0.0262466368452518,0.00381001194894388,0.000381001194894388,3.81001194894388e-05
5,0.00187,0.0373,0.000284115092472739,351.970038373077,2.84115092472739e-07,2.84115092472739e-08,2.84115092472739e-09
6,2.13383852,0.0353,0.319764846069661,0.312729811388382,0.000319764846069661,3.19764846069661e-05,3.19764846069661e-06
7,0.0152,0.0373,0.00230938470886932,43.3015770893193,2.30938470886932e-06,2.30938470886932e-07,2.30938470886932e-08
8,2.493520303,0.0353,0.37366470254758,0.267619604737128,0.00037366470254758,3.7366470254758e-05,3.7366470254758e-06
9,0.197365265,0.431,0.055286045851562,1.80877468192409,5.5286045851562e-05,5.5286045851562e-06,5.5286045851562e-07
10,6.821625014,0.0363,1.02941380655358,0.0971426644594893,0.00102941380655358,0.000102941380655358,1.02941380655358e-05
11,0.0652,0.38,0.0176977878555169,5.65042370359454,1.76977878555169e-05,1.76977878555169e-06,1.76977878555169e-07
12,0.0146,0.0373,0.00221822478615079,45.0810939560037,2.21822478615079e-06,2.21822478615079e-07,2.21822478615079e-08
13,0.179948802,0.523,0.0529053841181615,1.89016678863261,5.29053841181615e-05,5.29053841181616e-06,5.29053841181616e-07
14,0.41942795,0.338,0.110563564806388,0.904457089232907,0.000110563564806388,1.10563564806388e-05,1.10563564806388e-06
15,0.0943,0.38,0.0255966471591294,3.90676166992963,2.55966471591294e-05,2.55966471591294e-06,2.55966471591294e-07
16,0.0601,0.452,0.0170366644881758,5.86969356997109,1.70366644881758e-05,1.70366644881758e-06,1.70366644881758e-07
17,3.020341814,70,3.020341814,0.0331088354094481,0.003020341814,0.0003020341814,3.020341814e-05
18,2.407049468,70,2.407049468,0.0415446385001341,0.002407049468,0.0002407049468,2.407049468e-05
19,11.69222858,0.452,3.31441889245457,0.0301712014216594,0.00331441889245457,0.000331441889245457,3.31441889245457e-05
20,0.000294,0.0353,4.40571598381682e-05,2269.77863228865,4.40571598381682e-08,4.40571598381682e-09,4.40571598381682e-10
21,0.169868066,0.145,0.036239252650553,2.75943880422363,3.6239252650553e-05,3.6239252650553e-06,3.6239252650553e-07
22,0.860846062,0.297,0.219705080339109,0.455155610628816,0.000219705080339109,2.19705080339109e-05,2.19705080339109e-06
23,196.6761446,0.523,57.8232634021208,0.00172940775245716,0.0578232634021208,0.00578232634021208,0.000578232634021208
24,6.248221629,70,6.248221629,0.0160045539255311,0.006248221629,0.0006248221629,6.248221629e-05
25,0.822164763,70,0.822164763,0.121630121479677,0.000822164763,8.22164763e-05,8.22164763e-06
26,1.649057484,0.0373,0.250546587999744,0.399127367083132,0.000250546587999744,2.50546587999744e-05,2.50546587999744e-06
27,0.480545463,70,0.480545463,0.208096855968027,0.000480545463,4.80545463e-05,4.80545463e-06
28,10.11625057,70,10.11625057,0.00988508531970853,0.01011625057,0.001011625057,0.0001011625057
29,0.0806,0.284,0.0203418345101956,4.91597746259703,2.03418345101956e-05,2.03418345101956e-06,2.03418345101956e-07
30,37.62681395,0.0353,5.63853930746996,0.0177350896299543,0.00563853930746996,0.000563853930746996,5.63853930746996e-05
31,6.089714709,0.38,1.65298280706292,0.0604966969848183,0.00165298280706292,0.000165298280706292,1.65298280706292e-05
32,0.424193707,0.462,0.120906654752342,0.827084333817966,0.000120906654752342,1.20906654752342e-05,1.20906654752342e-06
33,0.29872221,70,0.29872221,0.33475917307923,0.00029872221,2.9872221e-05,2.9872221e-06
34,0.122319437,70,0.122319437,0.817531558782436,0.000122319437,1.22319437e-05,1.22319437e-06
35,1.57793664,70,1.57793664,0.0633739007416673,0.00157793664,0.000157793664,1.57793664e-05
36,1.838642293,70,1.838642293,0.05438795810404,0.001838642293,0.0001838642293,1.838642293e-05
37,0.160117625,70,0.160117625,0.624540864879803,0.000160117625,1.60117625e-05,1.60117625e-06
38,12.85213493,70,12.85213493,0.0077808084450293,0.01285213493,0.001285213493,0.0001285213493
39,1.971656781,70,1.971656781,0.0507187665539239,0.001971656781,0.0001971656781,1.971656781e-05
40,255.9456181,0.389,69.8812377952117,0.00143099926611277,0.0698812377952117,0.00698812377952117,0.000698812377952118
41,0.429086928,70,0.429086928,0.233053009715551,0.000429086928,4.29086928e-05,4.29086928e-06
42,0.162270667,70,0.162270667,0.616254322785276,0.000162270667,1.62270667e-05,1.62270667e-06
43,0.560251013,70,0.560251013,0.17849142202265,0.000560251013,5.60251013e-05,5.60251013e-06
44,0.0621,70,0.0621,1.61030595813205,6.21e-05,6.21e-06,6.21e-07
45,30.30726458,70,30.30726458,0.00329953895166081,0.03030726458,0.003030726458,0.0003030726458
46,54.14693463,70,54.14693463,0.00184682661508589,0.05414693463,0.005414693463,0.0005414693463
47,18.56352662,0.0373,2.82041608677083,0.0354557614633708,0.00282041608677083,0.000282041608677083,2.82041608677083e-05
48,3.273606009,70,3.273606009,0.0305473535071337,0.003273606009,0.0003273606009,3.273606009e-05
49,0.18607394,70,0.18607394,0.537420769399519,0.00018607394,1.8607394e-05,1.8607394e-06
50,0.277788134,70,0.277788134,0.359986578836373,0.000277788134,2.77788134e-05,2.77788134e-06
51,0.026,70,0.026,3.84615384615385,2.6e-05,2.6e-06,2.6e-07
52,0.0332,70,0.0332,3.01204819277108,3.32e-05,3.32e-06,3.32e-07
53,0.0409,70,0.0409,2.44498777506112,4.09e-05,4.09e-06,4.09e-07
54,0.263028432,70,0.263028432,0.380187036206033,0.000263028432,2.63028432e-05,2.63028432e-06
55,0.13672103,0.38,0.037111346385395,2.69459369545683,3.7111346385395e-05,3.7111346385395e-06,3.7111346385395e-07
56,11.06982621,0.0353,1.65886089358746,0.0602823301137321,0.00165886089358746,0.000165886089358746,1.65886089358746e-05
57,11.27752762,0.0353,1.68998583991053,0.0591720934213827,0.00168998583991053,0.000168998583991053,1.68998583991053e-05
58,0.95767837,70,0.95767837,0.104419190338401,0.00095767837,9.5767837e-05,9.5767837e-06
59,9.841599723,0.38,2.67138871252404,0.0374337136078994,0.00267138871252404,0.000267138871252404,2.67138871252404e-05
60,4.109090317,70,4.109090317,0.0243362866925273,0.004109090317,0.0004109090317,4.109090317e-05
61,296.2044882,0.38,80.4012913192568,0.00124376111825021,0.0804012913192568,0.00804012913192568,0.000804012913192568
62,195.3249198,0.38,53.0186962195743,0.00188612710478309,0.0530186962195743,0.00530186962195743,0.000530186962195743
63,142.1813877,0.229,34.0037730748066,0.00294085011625048,0.0340037730748066,0.00340037730748066,0.000340037730748066
64,9.335416272,0.0353,1.39895213214742,0.0714820741196471,0.00139895213214742,0.000139895213214742,1.39895213214742e-05
65,87.74379719,0.0353,13.1487840054682,0.00760526600470531,0.0131487840054682,0.00131487840054682,0.000131487840054682
66,422.5247405,0.0353,63.3171429516634,0.00157935110995675,0.0633171429516634,0.00633171429516634,0.000633171429516634
67,47.38135024,0.284,11.9581090006414,0.00836252621502583,0.0119581090006414,0.00119581090006414,0.000119581090006414
68,1.441273509,70,1.441273509,0.0693830833464656,0.001441273509,0.0001441273509,1.441273509e-05
69,26.64683443,0.229,6.3727955239226,0.0156917007025588,0.0063727955239226,0.00063727955239226,6.3727955239226e-05
70,14.55217791,0.0373,2.21095902276973,0.0452292416865905,0.00221095902276973,0.000221095902276973,2.21095902276973e-05
71,25.51794049,0.0353,3.82397273098229,0.0261508140970221,0.00382397273098229,0.000382397273098229,3.82397273098229e-05
72,29.2877428,0.0353,4.38889376135633,0.0227847848313139,0.00438889376135633,0.000438889376135633,4.38889376135633e-05
73,42.97486716,0.0353,6.43996799827267,0.0155280274726244,0.00643996799827267,0.000643996799827267,6.43996799827267e-05
74,2.629332788,0.0373,0.399482956258943,0.25032357058853,0.000399482956258943,3.99482956258943e-05,3.99482956258943e-06
75,2.329980896,0.0373,0.354001464025002,0.282484707444423,0.000354001464025002,3.54001464025002e-05,3.54001464025002e-06
76,122.4784933,0.0373,18.6085499731825,0.00537387384530843,0.0186085499731825,0.00186085499731825,0.000186085499731825
77,89.67847773,0.0353,13.4387041748103,0.00744119363736287,0.0134387041748103,0.00134387041748103,0.000134387041748103
78,5.985466678,70,5.985466678,0.0167071350288453,0.005985466678,0.0005985466678,5.985466678e-05
79,2.044132457,0.38,0.554856174425804,0.180226885108534,0.000554856174425804,5.54856174425804e-05,5.54856174425804e-06
80,4.77635466,0.0353,0.715757213263264,0.139712179139743,0.000715757213263264,7.15757213263264e-05,7.15757213263264e-06
81,81.52974235,0.38,22.1303080371971,0.00451868992658927,0.0221303080371971,0.00221303080371971,0.000221303080371971
82,0.507591762,0.229,0.121394476231359,0.823760710573155,0.000121394476231359,1.21394476231359e-05,1.21394476231359e-06
83,2.816841978,0.523,0.82815837165869,0.120749851021506,0.00082815837165869,8.2815837165869e-05,8.2815837165869e-06
84,14.3642262,8,8.3518026254442,0.0119734630336384,0.0083518026254442,0.00083518026254442,8.3518026254442e-05
85,28.54303097,0.0353,4.27729550241862,0.0233792591471537,0.00427729550241862,0.000427729550241862,4.27729550241862e-05
86,5.030221786,0.389,1.37340942736038,0.0728114996211977,0.00137340942736039,0.000137340942736038,1.37340942736039e-05
87,0.749286888,70,0.749286888,0.133460229454863,0.000749286888,7.49286888e-05,7.49286888e-06
88,306.0261173,0.0373,46.4955286715308,0.00215074444483583,0.0464955286715308,0.00464955286715308,0.000464955286715308
89,10.24412705,0.0373,1.55642305032793,0.064249883718267,0.00155642305032793,0.000155642305032793,1.55642305032793e-05
90,0.578655692,70,0.578655692,0.172814337407399,0.000578655692,5.78655692e-05,5.78655692e-06
91,33.19478664,0.229,7.93878868698917,0.0125963801207972,0.00793878868698917,0.000793878868698917,7.93878868698917e-05
92,34.16908544,0.38,9.27480406954218,0.0107818989220908,0.00927480406954218,0.000927480406954218,9.27480406954218e-05
93,0.000635,0.38,0.00017236342466646,580.169488936006,1.7236342466646e-07,1.7236342466646e-08,1.7236342466646e-09
94,0.464736744,0.452,0.131739833325378,0.759071857583231,0.000131739833325378,1.31739833325378e-05,1.31739833325378e-06
95,1.136504763,0.0353,0.170310108844661,0.587164206977339,0.000170310108844661,1.70310108844661e-05,1.70310108844662e-06
96,9.713564812,0.0353,1.45561931129486,0.0686992809342738,0.00145561931129487,0.000145561931129487,1.45561931129487e-05
97,1.075985979,0.0353,0.161241109729357,0.620189231938741,0.000161241109729357,1.61241109729357e-05,1.61241109729357e-06
98,18.0950255,0.0353,2.71161711132391,0.0368783629452671,0.00271161711132391,0.000271161711132391,2.71161711132391e-05
99,7.369499405,0.368,1.9843827028466,0.0503935051724397,0.0019843827028466,0.00019843827028466,1.9843827028466e-05
100,17.33706176,70,17.33706176,0.00576799006569381,0.01733706176,0.001733706176,0.0001733706176
101,129.7861043,0.229,31.0393456574793,0.00322171740034422,0.0310393456574793,0.00310393456574793,0.000310393456574793
102,75.02784098,0.0373,11.3992203091244,0.00877252981240796,0.0113992203091244,0.00113992203091244,0.000113992203091244
103,31.16015065,0.0373,4.73426154191937,0.021122618409345,0.00473426154191937,0.000473426154191937,4.73426154191937e-05
104,0.910268682,70,0.910268682,0.109857673868648,0.000910268682,9.10268682e-05,9.10268682e-06
105,1.352443036,70,1.352443036,0.073940267603256,0.001352443036,0.0001352443036,1.352443036e-05
106,0.734888172,0.0373,0.111653914943798,0.895624663500032,0.000111653914943798,1.11653914943798e-05,1.11653914943798e-06
107,9.9822575,0.38,2.70956864346844,0.0369062434498773,0.00270956864346844,0.000270956864346844,2.70956864346844e-05
108,2.334604225,0.38,0.633701384979192,0.157803032106808,0.000633701384979192,6.33701384979192e-05,6.33701384979192e-06
109,46.34973898,0.38,12.5811019574635,0.00794842934570425,0.0125811019574635,0.00125811019574635,0.000125811019574635
110,0.298880182,70,0.298880182,0.334582237372968,0.000298880182,2.98880182e-05,2.98880182e-06
111,0.863585741,70,0.863585741,0.115796261161288,0.000863585741,8.63585741e-05,8.63585741e-06
112,55.18072802,0.0373,8.38378483642531,0.0119277870259178,0.00838378483642531,0.000838378483642531,8.38378483642531e-05
113,0.515382901,0.38,0.13989474304078,0.714823143646289,0.00013989474304078,1.3989474304078e-05,1.3989474304078e-06
114,7.041619876,0.0373,1.06985587284899,0.0934705342446766,0.00106985587284899,0.000106985587284899,1.06985587284899e-05
115,8.142185939,0.462,2.32074273618597,0.0430896533427678,0.00232074273618597,0.000232074273618597,2.32074273618597e-05
116,8.912628791,70,8.912628791,0.0112200342171751,0.008912628791,0.0008912628791,8.912628791e-05
117,0.000505,0.514,0.000147828322208247,676.460359599626,1.47828322208247e-07,1.47828322208247e-08,1.47828322208247e-09
118,1.296435675,70,1.296435675,0.077134563579485,0.001296435675,0.0001296435675,1.296435675e-05
119,0.905817127,70,0.905817127,0.110397559307796,0.000905817127,9.05817127e-05,9.05817127e-06
120,1.862066793,70,1.862066793,0.0537037663610813,0.001862066793,0.0001862066793,1.862066793e-05
121,1.064491336,0.514,0.311607857833851,0.320916169108032,0.000311607857833851,3.11607857833852e-05,3.11607857833852e-06
122,1.490343138,70,1.490343138,0.0670986415478769,0.001490343138,0.0001490343138,1.490343138e-05
123,0.0229,70,0.0229,4.36681222707424,2.29e-05,2.29e-06,2.29e-07
124,0.205078213,70,0.205078213,0.487618838379482,0.000205078213,2.05078213e-05,2.05078213e-06
125,0.105734488,70,0.105734488,0.94576520765864,0.000105734488,1.05734488e-05,1.05734488e-06
126,13.29231276,0.0373,2.01954367325346,0.0495161364046668,0.00201954367325346,0.000201954367325346,2.01954367325346e-05
